A (a),(ā),(eh´-ee)
anthracene,an′-thrə-sēn´,åh′-n-thruh-see´-n
anthraces,an´-thrak-sēz,åh´-n-thråh-k-see-z
anthracite,an′-thrə-sīt´,åh′-n-thruh-suh´-ee-t
anthracitic,an´-thrə-sit′-ik,åh´-n-thruh-sih′-tih-k
anthrax,an´-thraks,åh´-n-thråh-ks
anthrope,an-thrōp′,åh-n-throh′-oo-p
anthropic,an-throp′-ik,åh-n-thrah′-pih-k
anthropical,an-throp′-ik-əl,åh-n-thrah′-pih-kuh-l
anthropo-,an´-thrə-pō-,åh´-n-throh-poh-oo-
anthropocentric,an´-thrə-pō-sən′-trik,åh´-n-throh-poh-oo-seh′-n-trih-k
anthropogenesis,an´-thrə-pō-jən′-ə-sis,åh´-n-throh-poh-oo-jeh′-nih-sih-s
anthropogenic,an´-thrə-pō-jən′-ik,åh´-n-throh-poh-oo-jeh′-nih-k
anthropography,an´-thrə-pog′-rə-fi,åh´-n-throh-pah′-gruh-fee
anthropoid,an′-thrə-poid´,åh′-n-throh-poh´-ee-d
anthropolatry,an´-thrə-pol′-ə-tri,åh´-n-throh-pah′-luh-tree
anthropolatric,an´-thrə-pol′-ə-trik,åh´-n-throh-pah′-luh-trih-k
anthropologic,an´-thrə-pə-loj′-ik,åh´-n-throh-puh-lah′-jih-k
anthropological,an´-thrə-pə-loj′-ik-əl,åh´-n-throh-puh-lah′-jih-kuh-l
anthropologist (anthropologists),an´-thrə-pol′-ə-jist (s),åh´-n-throh-pah′-lah-jih-st (s)
anthropology,an´-thrə-pol′-ə-ji,åh´-n-throh-pah′-lah-jee
anthropometric,an´-thrə-pə-mət′-rik,åh´-n-throh-poh-meh′-trih-k
anthropometry,an´-thrə-pom′-ə-tri,åh´-n-throh-pah′-meh-tree
anthropomorphic,an´-thrə-pə-môr′-fik,åh´-n-throh-poh-moh′-erh-fih-k
anthropomorphical,an´-thrə-pə-môr′-fik-əl,åh´-n-throh-poh-moh′-erh-fih-kuh-l
anthropomorphically,an´-thrə-pə-môr′-fik-əl-li,åh´-n-throh-poh-moh′-erh-fih-kuh-lee
anthropomorphism,an´-thrə-pə-môr′-fiz-‘m,åh´-n-throh-poh-moh′-erh-fih-zih-m
anthropomorphist,an´-thrə-pə-môr′-fist,åh´-n-throh-poh-moh′-erh-fih-st
anthropomorphize,an´-thrə-pə-môr′-fīz,åh´-n-throh-poh-moh′-erh-fah-ee-z
anthropomorphized,an´-thrə-pə-môr′-fīzd,åh´-n-throh-poh-moh′-erh-fah-ee-zd
anthropomorphizes,an´-thrə-pə-môr′-fīz-ez,åh´-n-throh-poh-moh′-erh-fah-ee-zeh-z
anthropomorphizing,an´-thrə-pə-môr′-fīz-iŋ,åh´-n-throh-poh-moh′-erh-fah-ee-zih-eeng
anthropopathic,an´-thrə-pə-path′-ik,åh´-n-throh-poh-påh′-thih-k
anthropopathical,an´-thrə-pə-path′-ik-əl,åh´-n-throh-poh-påh′-thih-kuh-l
anthropopathically,an´-thrə-pə-path′-ik-əl-li (kli),åh´-n-throh-poh-påh′-thih-kuh-lee (klee)
anthropopathism,an´-thrə-pop′-ə-thiz´-‘m,åh´-n-throh-pah′-puh-thih-zih-m
anthropopathy,an´-thrə-pop′-ə-thi,åh´-n-throh-pah′-puh-thee
anthropophagi,an´-thrə-pof ′-ə-jī,åh´-n-throh-pah′-fuh-jah-ee
anthropophagic,an´-thrə-pə-foj ′-jik,åh´-n-throh-puh-fah′-jih-k
anthropophagical,an´-thrə-pə-foj ′-jik-əl,åh´-n-throh-puh-fah′-jih-kuh-l
anthropophagically,an´-thrə-pə-foj ′-jik-əl-li (an´-thrə-pə-foj ′-jik-li),åh´-n-throh-puh-fah′-jih-kuh-lee (åh´-n-throh-puh-fah′-jih-klee)
anthropophagism,an´-thrə-pof ′-ə-jiz-‘m,åh´-n-throh-pah′-fuh-jih-zih-m
anthropophagist(anthropophagists),an´-thrə-pof ′-ə-jist (s),åh´-n-throh-pah′-fuh-jih-st (s)
anthropophagite,an´-thrə-pof ′-ə-jīt´,åh´-n-throh-pah′-fuh-juh´-ee-t
anthropophagous,an´-thrə-pof ′-ə-gəs,åh´-n-throh-pah′-fuh-guh-s
anthropophagy,an´-thrə-pof ′-ə-ji,åh´-n-throh-pah′-fuh-jee
anthroposophy,an´-thrə-pos ′-ə-fi,åh´-n-throh-pah′-suh-fee
anthurium,an´-th-yoor ′-i-əm,åh´-n-th-yôô′-ree-uh-m
anti-,an´-tī (an´-ti) (an´-tə-),åh´-n-tah-ee (åh´-n-tee) (åh´-n-tih-)
antiaircraft,an´-ti-âr′-kraft´ (an´-tī-âr′-kraft´),åh´-n-tee-eh′-erh-kråh´-ft (åh´-n-tah-ee-eh′-erh-kråh´-ft)
antiar (antiart),an´-ti-är (an′-ti-ärt´),åh´-n-tee-ah-erh (åh′-n-tee-ah´-erh-t)
antibacterial,an´-ti-bak-têr′-i-əl,åh´-n-tee-båh-k-tih′-ree-uh-l
antiballistic (antiballistics),an´-ti-bə-lis′-tik (s),åh´-tee-buh-lih′-stih-k (s)
antibiosis,an´-ti-bī-ō′-sis,åh´-n-tee-bah-ee-oh′-oo-sih-s
antibiotic (antibiotics),an´-ti-bī-ot′-tik (s),åh´-n-tee-bah-ee-ah′-tih-k (s)
antibiotical,an´-ti-bī-ot′-tik-əl,åh´-n-tee-bah-ee-ah′-tih-kuh-l
antibiotically,an´-ti-bī-ot′-tik-əl-li (an´-ti-bī-ot′-tik-li),åh´-n-tee-bah-ee-ah′-tih-kuh-lee (åh´-n-tee-bah-ee-ah′-tih-klee)
antibody (antibodies),an′-ti-bod´-i (an′-ti-bod´-ēz),åh′-n-tee-bah´-dee (åh′-n-tee-bah´-dee-z)
antic (antics),an´-tik (s),åh´-n-tih-k (s)
anticatalyst,an´-tī-kat′-ə-list,åh´-n-tah-ee-kåh′-tuh-lih-st
anticathode,an´-tī-kath′-ōd,åh´-n-tah-ee-kåh′-thoh-oo-d
antichrist,an′-tə-krīst´,åh′-n-tih-kruh´-ee-st
anticipant,an-tis′-ə-pənt´,åh-n-tih′-sih-peh´-n-t
anticipate (anticipates),an-tis′-ə-pāt´ (s),åh-n-tih′-sih-peh´-ee-t (s)
anticipated,an-tis′-ə-pāt´-ed,åh-n-tih′-sih-peh´-ee-teh-d
anticipating,an-tis′-ə-pāt´-iŋ,åh-n-tih′-sih-peh´-ee-tih-eeng
anticipation (anticipations),an-tis´-ə-pā′-shən (z),åh-n-tih´-sih-peh′-ee-shuh-n (z)
anticipative,an-tis′-ə-pā´-tiv,åh-n-tih′-sih-peh´-ee-tih-v
anticipatively,an-tis´-ə-pā′-tiv-li,åh-n-tih´-sih-peh′-ee-tih-v-lee
anticipator (anticipators),an-tis′-ə-pā´-tẽr (z),åh-n-tih′-sih-peh´-ee-terh (z)
anticipatory,an-tis′-ə-pə-tôr´-i,åh-n-tih′-sih-pih-toh´-ree
anticlastic,an´-ti-klast′-tik (an´-tī-klast′-tik),åh´-n-tee-klåh′-stih-k (åh´-n-tah-ee-klåh′-stih-k)
anticlimatic,an´-ti-klī-mat′-ik (an´-tə-klī-mat′-ik),åh´-n-tee-klah-ee-måh′-tih-k (åh´-n-tih-klah-ee-måh′-tih-k)
anticlimax,an´-tə-klī ′-maks,åh´-n-tih-klah′-ee-måh-ks
anticlinal,an´-tə-klī ′-nəl,åh´-n-tih-klah′-ee-nuh
anticline,an′-tə-klīn´,åh′-n-tih-klah´-ee-n
anticly,an´-tik-li,åh´-n-tih-k-lee
anticoagulant (anticoagulants),an´-tī-kō-ag′-ū-lənt (s),åh´-n-tah-ee-koh-oo-åh′-g-yoo-leh-n-t (s)
anticoagulative,an´-tī-kō-ag′-ū-lə-tiv,åh´-n-tah-ee-koh-oo-åh′-g-yoo-luh-tih-v
anticorruption,an´-tī-kə-rup′-shən,åh´-n-tah-ee-koh-ruh´-p-shuh-n
antidepressant (antidepressants),an´-tī-di-pres´-ənt (s),åh´-n-tah-ee-dee-preh´-seh-n-t (s)
antidisestablishmentarianism,an´-tī-dis-əs-tab′-lish-mən-târ′-i-ən-iz-‘m,åh´-n-tah-ee-dih-s-eh-ståh′-blih-sh-meh-n-teh′-ree-eh-nih-zih-m
antidotal,an´-tə-dōt′-əl,åh´-n-tih-doh′-oo-tuh-l
antifebrile,an´-ti-fē′-bril,åh´-n-tee-fee′-brih-l
antifederalism,an´-tə-fəd′-ẽr-əl-iz-‘m,åh´-n-tih-feh′-derh-uh-lih-zih-m
antifederalist (antifederalists),an´-tə-fəd′-ẽr-əl-ist (s),åh´-n-tih-feh′-derh-uh-lih-st (s)
antifouling,an′-tə-foul´-iŋ,åh′-n-tih-fah´-oo-lih-eeng
antifreeze,an′-tə-frēz´,åh′-n-tih-free´-z
antigen,an´-tə-jən,åh´-tih-djih-n
antihistamine,an´-tə-his′-tə-mēn´,åh´-n-tih-hih′-stuh-mee´-n
anti-imperialism,an´-tī-im-pêr′-i-əl-iz-‘m,åh´-n-tah-ee-ih-m-pih′-ree-uh-lih-zih-m
anti-imperialist (anti-imperialists),an´-tī-im-pêr′-i-əl-ist (s),åh´-n-tah-ee-ih-m-pih′-ree-uh-lih-st (s)
anti-imperialistic,an´-tī-im-pêr´-i-əl-is′-tik,åh´-n-tah-ee-ih-m-pih´-ree-uh-lih′-stih-k
anti-inflammatory,an´-tī-in-flam′-ə-tôr´-i,åh´-n-tah-ee-ih-n-flåh′-muh-toh´-ree
antiknock,an′-tī-nok´,åh′-n-tah-ee-nah´-k
antilegomena,an´-tə-lə-gom′-ə-nə,åh´-n-tih-leh-gah′-meh-nuh
antilog,an´-tə-lôg,åh´-n-tih-law-g
antimacassar,an´-tə-mə-kas′-ẽr,åh´-n-tih-muh-kåh′-serh
antimagnetic,an´-tī-mag-nət′-ik,åh´-n-tah-ee-måh-eeg-neh′-tih-k
antimalarial,an´-tī-mə-lâr′-i-əl,åh´-n-tah-ee-muh-leh′-ree-uh-l
antimatter,an′-tī-mat´-ẽr,åh′-n-tah-ee-måh´-terh
antimere,an´-tə-mêr,åh´-n-tih-mih-erh
antimicrobial,an´-tī-mī-krō′-bi-əl,åh´-n-tah-ee-mah-ee-kroh′-oo-bee-uh-l
antimissile (antimissiles),an′-tī-mis´-əl (z),åh′-n-tah-ee-mih´-suh-l (z)
antimonial,an´-tə-mōn′-i-əl,åh´-n-tih-moh′-oo-nee-uh-l
antimonic,an´-tə-mon′-ik,åh´-n-tih-mah′-nih-k
antimonious,an´-tə-mōn′-i-əs,åh´-n-tih-moh′-oo-nee-uh-s
antimony (Sb) (51),an′-tə-mō´-ni,åh′-n-tih-moh´-oo-nee
antimusic,an´-tī-mū′-zik,åh´-n-tah-ee-myoo′-zih-k
antineutrino,an´-ti-nōō-trē′-nō,åh´-n-tee-noo-tree′-noh-oo
antineutron,an´-ti-nōō′-tron,åh´-n-tee-noo′-trah-n
anting,an′-tiŋ,åh′-n-tih-eeng
antinode,an′-tə-nōd´,åh′-n-tih-noh´-oo-d
antinomian,an´-tə-nō′-mi-ən,åh´-n-tih-noh′-oo-mee-eh-n
antinomianism,an´-tə-nō′-mi-ən-iz-‘m,åh´-n-tih-noh′-oo-mee-eh-nih-zih-m
antinuclear,an´-ti-nōō′-kli-ẽr,åh´-n-tee-noo′-klee-erh
antinucleon,an´-ti-nōō′-kli-on,åh´-n-tee-noo′-klee-ah-n
Antiochian (Antiochians),an´-ti-ō′-ki-ən (z),åh´-n-tee-oh′-oo-kee-eh-n (z)
antioxidant (antioxidants),an′-ti-ok´-si-dənt (s),åh′-n-tee-ah´-k-sih-deh-n-t (s)
antiparticle (antiparticles),an´-ti-pär´-tə-k’l (z),åh´-n-tee-pah´-erh-tih-kôô-l (z)
antipasto (antipastos),än´-ti-päs′-tō (z),ah´-n-tee-pah′-stoh-oo (z)
antipathies,an-tip´-ə-thēz,åh-n-tih´-puh-thee-z
antipathy,an-tip´-ə-thi,åh-n-tih´-puh-thee
antipathetic,an´-tə-pə-thet′-ik,åh´-n-tih-puh-theh′-tih-k
antipathetical,an´-tə-pə-thet′-ik-əl,åh´-n-tih-puh-theh′-tih-kuh-l
antipathetically,an´-tə-pə-thet′-ik-əl-li (an´-tə-pə-thet′-ik-li),åh´-n-tih-puh-theh′-tih-kuh-lee (åh´-n-tih-puh-theh′-tih-klee)
antiphlogistic,an´-tə-flō-jis′-tik,åh´-n-tih-floh-oo-djih′-stih-k
antiphon,an′-tə-fon´,åh′-n-tih-fah´-n
antiphonal,an-tif´-ə-nəl,åh-n-tih´-fuh-nuh-l
antiphonally,an-tif´-ə-nəl-li,åh-n-tih´-fuh-nuh-lee
antiphonaries,an-tif´-ə-nâr′-ēz,åh-n-tih′-fuh-neh´-ree-z
antiphonary,an-tif´-ə-nâr′-i,åh-n-tih′-fuh-neh´-ree
antiphonic,an´-tə-fon′-ik,åh´-n-tih-fah′-nih-k
antiphony,an-tif´-ə-ni,åh-n-tih´-fuh-nee
antiphrasis,an-tif´-rə-sis,åh-n-tih´-fruh-sih-s
antipodal,an-tip´-ə-dəl,åh-n-tih´-poh-duh-l
antipode (antipodes),an´-tə-pōd′ (an-tip′-ə-dēz´),åh´-n-tih-poh′-oo-d (åh-n-tih′-poh-dee´-z)
antipope,an′-tə-pōp´,åh′-n-tih-poh´-oo-p
antipyretic,an´-ti-pī-rət′-ik,åh´-n-tee-pah-ee-reh′-tih-k
antipyrine,an´-ti-pī ′-rēn,åh´-n-tee-pah′-ee-ree-n
antiquarian,an´-tə-kwâr′-i-ən,åh´-n-tih-kweh′-erh-ee-uh-n
antiquarianism,an´-tə-kwâr′-i-ən-iz-‘m,åh´-n-tih-kweh′-erh-ee-uh-nih-zih-m
antiquary,an′-tə-kwâr´-i,åh′-n-tih-kweh´-erh-ee
antiquate (antiquates),an′-tə-kwāt´ (s),åh′-n-tih-kweh´-ee-t (s)
antiquated,an′-tə-kwāt´-ed,åh′-n-tih-kweh´-ee-teh-d
antiquating,an′-tə-kwāt´-iŋ,åh′-n-tih-kweh´-ee-tih-eeng
antique (antiques),an-tēk´ (s),åh-n-tee´-k (s)
antiqued,an-tēkd´,åh-n-tee´-kd
antiquely,an-tēk´-li,åh-n-tee´-klee
antiqueness,an-tēk´-nes,åh-n-tee´-k-neh-s
antiquing,an-tēk´-iŋ,åh-n-tee´-kih-eeng
antiquity (antiquities),an-tik´-wə-ti (an-tik´-wə-tēz),åh-n-tih´-kwuh-tee (åh-n-tih´-kwih-tee-z)
antireformer (antireformers),an´-tī-ri-fôr′-mẽr (z),åh´-n-tah-ee-ree-foh′-erh-merh (z)
antirrhinum,an´-tə-rī ′-nəm,åh´-n-tih-rah′-ee-nuh-m
antiscorbutic,an´-ti-skôr-bū′-tik,åh´-n-tee-skoh-erh-byoo′-tih-k
anti-Semetic,an´-tī səm-ət′-ik,åh´-n-tah-ee seh-meh′-tih-k
anti-Semitism,an´-tī səm′-ə-tiz-‘m,åh´-n-tah-ee seh′-mih-tih-zih-m
antisepsis,an´-tə-səp′-sis,åh´-n-tih-seh′-p-sih-s
antiseptic (antiseptics),an´-tə-səp′-tik (s),åh´-n-tih-seh′-p-tih-k (s)
antiseptical,an´-tə-səp′-tik-əl,åh´-n-tih-seh′-p-tih-kuh-l
antiseptically,an´-tə-səp′-tik-əl-li,åh´-n-tih-seh′-p-tih-kuh-lee
(an´-tə-səp′-tik-li,),(åh´-n-tih-seh′-p-tih-klee)
antisepticize (antisepticized),an´-tə-səp′-tə-sīz (d),åh´-n-tih-seh′-p-tih-sah-ee-z (d)
antisepticizes,an´-tə-səp′-tə-sīz-ez,åh´-n-tih-seh′-p-tih-sah-ee-zeh-z
antisepticizing,an´-tə-səp′-tə-sīz-iŋ,åh´-n-tih-seh′-p-tih-sah-ee-zih-eeng
antiserum,an′-ti-sũr´-əm,åh′-n-tee-serh´-uh-m
antislavery,an´-tī-slā′-vẽr-i,åh´-n-tah-ee sleh′-ee-verh-ee
antisocial,an´-tī-sō′-shəl,åh´-n-tah-ee soh′-oo-shuh-l
antistrophe,an-tis´-trə-fi,åh-n-tih´-stroh-fee
antiterrorist (antiterrorists),an´-tī-târ′-ə-rist (s),åh´-n-tah-ee teh′-erh-rih-st (s)
antitheses (antithesis),an-tith´-ə-sēz (an-tith´-ə-sis,åh-n-tih´-thih-see-z (åh-n-tih´-thih-sih-s)
antithetic,an´-tə-thet′-ik,åh´-n-tih-theh′-tih-k
antithetical,an´-tə-thet′-ik-əl,åh´-n-tih-theh′-tih-kuh-l
antithetically,an´-tə-thet′-ik-əl-li (an´-tə-thet′-ik-li),åh´-n-tih-theh′-tih-kuh-lee (åh´-n-tih-theh′-tih-klee)
antitoxic (antitoxin),an´-ti-toks′-ik (an´-ti-toks′-in),åh´-n-tee-tah′-k-sih-k (åh´-n-tee-tah′-k-sih-n)
antitrade (antitrades),an′-tə-trād´ (z),åh′-n-tih-treh´-ee-d (z)
antitrust (antitrusts),an′-tə-trust´ (s),åh′-n-tih-truh´-st (s)
antitussive,an´-tī-tus′-iv,åh´-n-tah-ee-tuh′-sih-v
antitype,an′-tə-tīp´,åh′-n-tih-tuh´-ee-p
antitypical,an´-tə-tip′-ə-kəl,åh´-n-tih-tih′-pih-kuh-l
antivenene,an´-tī-vən-nēn′,åh´-n-tah-ee-veh-nee′-n
antivenin,an´-tī-vən′-in,åh´-n-tah-ee-veh′-nih-n
antivenom,an´-tī-vən′- əm,åh´-n-tah-ee-veh′-nuh-m
antivisectionist,an´-tī-viv-ə-sək′-shən-ist,åh´-n-tah-ee-vih-ih-seh′-k-shuh-nih-st
antler (antlers),ant´-lẽr (z),åh´-n-t-lerh (z)
antlered,ant´-lẽrd,åh´-n-t-lerh-d
antonomasia,an´-tə-nə-mā′-zhə,åh´-n-toh-noh-meh′-ee-zhuh
antonomastic,an´-tə-nə-mas′-tik,åh´-n-toh-noh-måh′-stih-k
antonym (antonyms),an´-tə-nim (z),åh´-n-toh-nih-m (z)
antonymic,an´-tə-nim′-ik,åh´-n-toh-nih′-mih-k
antonymous,an-ton´-ə-məs,åh-n-tah´-nih-muh-s
antonymy,an-ton´-ə-mi,åh-n-tah´-nih-mee
antrorse,an-trôrs´,åh-n-troh´-erh-s
antra (antral),an´-trə (an´-trəl),åh´-n-truh (åh´-n-truh-l)
antrum,an´-trəm,åh´-n-truh-m
antsy,ant´-si,åh´-n-t-see
anuresis,an´-ūr-ē′-sis,åh´-n-yoo-ree′-sih-s
anuretic,an´-ū-rət′-ik,åh´-n-yoo-reh′-tih-k
anuria,ə-nūr´-i-ə,uh-nyoo´-ree-uh
anurous,an´-ūr-əs,åh´-nyoo´-ruh-s
anus,ā´-nəs,eh´-ee-nuh-s
anvil,an´-vil,åh´-n-vih-l
anxieties,aŋ-zī´-ə-tēz,åh-ng-zah´-ee-ih-tee-z
anxiety,aŋ-zī´-ə-ti,åh-ng-zah´-ee-ih-tee
anxious (anxiously),aŋk´-shəs (aŋk´-shəs-li),åh´-ng-k-shuh-s (åh´-ng-k-shuh-slee)
anxiousness,aŋk´-shəs-nes,åh´-ng-k-shuh-s-neh-s
any,ən´-i,eh´-nee
anybodies,ən′-i-bud´-ēz,eh′-nee-buh´-dee-z
anybody (anybody‘s),ən′-i-bud´-i (ən′-i-bud´-ēz),eh′-nee-buh´-dee (eh′-nee-buh´-dee-z)
anyday,ən´-i-dā′,eh´-nee-deh′-ee
anyhow,ən′-i-hou´,eh′-nee-hah´-oo
anymore,ən′-i-môr´,eh′-nee-moh´-erh
anyone(anyone‘s),ən′-i-wun´ (z),eh′-nee-wuh´-n (z)
anyplace,ən′-i-plās´,eh′-nee-pleh´-ee-s
anything,ən´-i-thiŋ,eh´-nee-thih-eeng
anytime,ən´-i-tīm (ən-i-tīm´),eh´-nee-tah-ee-m (eh-nee-tah´-ee-m)
anyway (anyways),ən´-i-wā (z),eh´-nee-weh-ee (z)
anywhere,ən´-i-wâr,eh´-nee-weh-erh
anywise,ən´-i-wīz,eh´-nee-wah-ee-z
A-OK,ā´-ō-kā´,eh´-ee-oh-oo-keh´-ee
AOL™ (america on line),ā´-ō- əl´,eh´-ee oh-oo eh´-l
A One ™,ā wun´,eh-ee wuh´-n
aorist (aoristic),ā´-ôr-ist (ā-ôr-is´-tik),eh´-ee-oh-rih-st (eh-ee-oh-rih´-stih-k)
aorta (aortas),ā-ôr´-tə (z),eh-ee-oh´-erh-tuh (z)
aortal (aortic),ā-ôr´-təl (ā-ôr´-tik),eh-ee-oh´-erh-tuh-l (eh-ee-oh´-erh-tih-k)
AP ™ (Associated Press),ā´ pē´,eh´-ee pee´
apace,ə-pās´,uh-peh´-ee-s
Apache (apaches),ə-pach´-i (ə-pach´-ēz),uh-påh´-chee (uh-påh´-cheez)
apagoge,ap-ə-gō´-jē,åh-puh-goh´-oo-jee
apagogic (apagogical),ap-ə-goj´-ik (ap-ə-goj´-ik-əl),åh-puh-gah´-jih-k (åh-puh-gah´-jih-kuh-l)
apanage,ap´-ə-nij,åh´-puh-nih-j
aparejo (aparejos),ap-ə-rā´-ō (z) (ap-ə-rā´-hō) (z),åh-puh-reh´-ee-oh-oo(z) (åh-puh-reh´-ee-hoh-oo) (z)
apart,ə-pärt´,uh-pah´-erh-t
apartness,ə-pärt´-nes,uh-pah´-erh-t-neh-s
apartheid,ə-pärt´-hīt,uh-pah´-erh-t-huh-ee-t
apartment (apartments) (apt),ə-pärt´-mənt (s),uh-pah´-erh-t-meh-n-t (s)
apathetic,ap´-ə-thet′-ik,åh´-puh-theh′-tih-k
apathetical,ap´-ə-thet′-ik-əl,åh´-puh-theh′-tih-kuh-l
apathetically,ap´-ə-thet′-ik-əl-li (kli),åh´-puh-theh′-tih-kuh-lee (klee)
apathies,ap´-ə-thēz,åh´-puh-thee-z
apathy,ap´-ə-thi,åh´-puh-thee
apatite,ap′-ə-tīt´,åh′-puh-tuh´-ee-t
APB (all points bulletin),ā´ pē´ bē′,eh´-ee pee´ bee′
ape (apes),āp (s),eh´-ee-p (s)
apeak,ə-pēk´,uh-pee´-k
aped,āpd,eh´-ee-pd
apeman (apemen),āp´-man (āp´-mən),eh´-ee-p-måh-n (eh´-ee-p-meh-n)
Apennines,ap′-ə-nīnz´,åh′-peh-nah´-ee-n-z
apercu (apercus),ə-pâr-si´ (ə-pâr-sōō´),uh-peh-eh-see ´ (uh-peh-erh-soo´ )
aperient,ə-pêr´-i-ənt,uh-pih´-ree-eh-n-t
aperies,ā´-pə-rēz,eh´-ee-pih-ree-z
aperiodic,ā-pêr´-i-od′-ik,eh-ee-pih´-ree-ah′-dih-k
apéritif,ä-pā´-ri-tēf ′,ah-peh´-ee-ree-tee′-f
aperture (apertures),ap´-ẽr-chẽr (z),åh´-perh-cherh (z)
apertured,ap´-ẽr-chẽrd,åh´-perh-cherh-d
apery,ā´-pə-ri,eh´-ee-pih-ree
apetalous,ā-pət´-ə-ləs,eh-ee-peh´-tuh-lus
apetalousness,ā-pət´-ə-ləs-nes,eh-ee-peh´-tuh-lus-neh-s
apex,ā′-pəks,eh′-ee-peh-k
apexes,ā′-pək-sēz´,eh′-ee-peh-k-see´-z
aphaeresis (apheresis),ə-fâr´-ə-sis,eh-ee-feh´-rih-sih-s
aphanite,af ′-ə-nīt´,åh′-fuh-nuh´-ee-t
aphanitic,af ´-ə-nit′-ik,åh´-fuh-nih′-tih-k
aphasia,ə-fā´-zhə,uh-feh´-ee-zhuh
aphelia,ə-fē´-li-ə,uh-fee´-lee-uh
aphelion,ə-fē´-li-ən,uh-fee´-lee-uh-n
aphemia,ə-fē´-mi-ə,uh-fee´-mee-uh
aphesis,af´-ə-sis,åh´-fih-sih-s
aphetic,ə-fet´-ik,uh-feh´-tih-k
aphid (aphids),ā´-fid (z),eh´-ee-fih-d (z)
aphides,af ′-ī-dēz´,åh′-fah-ee-dee´-z
aphidian (aphidion),ā-fid´-i-ən (ā-fid´-li-on),eh-ee-fih´-dee-eh-n (eh-ee-fih´-d-lee-ah-n)
aphis,ā´-fis,eh´-ee-fih-s
aphislion,ā-fis´-li-on,eh-ee-fih´-s-lee-ah-n
aphonia,ā-fō´-nē-ə,eh-ee-foh´-oo-nee-uh
aphonic,ā-fon´-nik,eh-ee-fah´-nih-k
aphorism (aphorisms),af ′-ə-riz´-'m (z),åh′-foh-rih´-zih-m (z)
aphorist (aphorists),af ´-ə-rist (s),åh´-foh-rih-st (s)
aphoristic,af ´-ə-ris′-tik,åh´-foh-rih′-stih-k
aphoristical,af ´-ə-ris′-tik-əl,åh´-foh-rih′-stih-kuh-l
aphorize (aphorized),af ′-ə-riz´ (d),åh′-foh-rah´-ee-z (d)
aphorizes,af ′-ə-riz´-ez,åh′-foh-rah´-ee-zeh-z
aphorizing,af ′-ə-riz´-iŋ,åh′-foh-rah´-ee-zih-eeng
aphotic,ā-fō´-tik,eh-ee-foh´-oo-tih-k
aphrodisiac,af´-rō-dēz′-i-ak,åh´-froh-oo-dee′-zee-åh-k
Aphrodite,af ´-rō-dī ′-ti,åh´-froh-oo-duh′-ee-tee
aphylous,ā-fil´-əs,eh-ee-fih´-luh-s
apian,ā´-pi-ən,eh´-ee-pee-eh-n
apiarian,ā´-pi-âr′-i-ən,eh´-ee-pee-eh′-ree-eh-n
apiarist (apiarists),ā´-pi-ə-rist (s),eh´-ee-pee-eh-rih-st (s)
apiaries,ā′-pi-âr´-ēz,eh′-ee-pee-eh´-ree-z
apiary,ā′-pi-âr´-i,eh′-ee-pee-eh´-ree
apical,ā´-pə-kəl (ap´-ə-kəl),eh´-ee-pih-kuh-l (åh´-pih-kuh-l)
apically,ā´-pə-kəl-i (ap´-ə-kəl-i),eh´-ee-pih-kuh-lee (åh´-pih-kuh-lee)
apices,ā´-pə-sēz,eh´-ee-pih-see-z
apiculate,ā-pik´-ū-lāt (ā-pik´-ū-lit),eh-ee-pih´-kyoo-leh-ee-t (eh-ee-pih´-kyoo-lih-t)
apicultural,ā´-pə-kul′-chẽr-əl,eh´-ee-pih-kuh′-cherh-uh-l
apiculturist (apiculturists),ā´-pə-kul′-chẽr-ist (s),eh´-ee-pih-kuh′-cherh-ih-st (s)
apiece,ə-pēs´,uh-pee´-s
aping (apingly),āp´-iŋ (āp´-iŋ-li),eh´-ee-pih-eeng (eh´-ee-pih-eeng-lee)
apish (apishly),āp´-ish (āp´-ish-li),eh´-ee-pih-sh (eh´-ee-pih-sh-lee)
apishness,āp´-ish-nes,eh´-ee-pih-sh-neh-s
apivorous,ā-piv´-ə-rəs,eh-ee-pih´-voh-ruh-s
aplacental,ā´-plə-sən′-təl,eh´-ee-pluh-seh′-n-tuh-l
aplanatic,ap´-lə-nat′-ik,åh´-pluh-nåh′-tih-k
aplasia,ə-plā´-zhə,uh-pleh´-ee-zhuh
aplastic,ā-plas´-tik,eh-ee-plåh´-stih-k
aplite,ap´-līt,åh´-pluh-ee-t
aplomb,ə-plom´,uh-plah´-m
apnea (apneic),ap´-ni-ə (ap-nē´-ik),åh´-p-nee-uh (åh-p-nee´-ih-k)
apocalypse,ə-pok′-ə-lips´,uh-pah′-kuh-lih´-ps
apocalyptic,ə-pok´-ə-lip′-tik,uh-pah´-kuh-lih′-p-tih-k
apocalyptical,ə-pok´-ə-lip′-tik-əl,uh-pah´-kuh-lih′-p-tih-kuh-l
apocarpous,ap´-ə-kär′-pəs,åh´-poh-kah′-erh-puh-s
apochromatic,ap´-ə-krō-mat′-ik,åh´-puh-kroh-oo-måh′-tih-k
apocopate (apocopates),ə-pok′-ə-pāt´ (s),uh-pah′-koh-peh´-ee-t (s)
apocopated,ə-pok′-ə-pāt´-ed,uh-pah′-koh-peh´-ee-teh-d
apocopating,ə-pok′-ə-pāt´-iŋ,uh-pah′-koh-peh´-ee-tih-eeng
